origWdId,origName,wpPage,stintType,timePeriod,teamName,teamWP,matchesPlayed,pointsScored
Q547478,Mike Campbell-Lamerton,Mike_Campbell-Lamerton,Amateur team(s),,Army,/wiki/Army_Rugby_Union,,
Q547478,Mike Campbell-Lamerton,Mike_Campbell-Lamerton,Amateur team(s),–,Halifax,/wiki/Halifax_RUFC,,
Q547478,Mike Campbell-Lamerton,Mike_Campbell-Lamerton,Amateur team(s),–,Blackheath,/wiki/Blackheath_Rugby_Club,,
Q547478,Mike Campbell-Lamerton,Mike_Campbell-Lamerton,Amateur team(s),–,London Scottish,/wiki/London_Scottish_RFC,,
Q549490,Anthony Foley,Anthony_Foley,Amateur team(s),1992–2007,Shannon,/wiki/Shannon_RFC,88,95
Q569150,David Aucagne,David_Aucagne,Youth career,-1991,Vichy,/wiki/Racing_Club_Vichy,,
Q573987,Dave Gallaher,Dave_Gallaher,Amateur team(s),1896–1909,Ponsonby,/wiki/Ponsonby_RFC,,
Q577587,Martyn Jordan,Martyn_Jordan,Amateur team(s),,Guy's Hospital,"/wiki/Guy%27s,_Kings_and_St._Thomas%27_Rugby_Football_Club",,
Q577587,Martyn Jordan,Martyn_Jordan,Amateur team(s),1883-1889,Newport RFC,/wiki/Newport_RFC,28,14
Q577587,Martyn Jordan,Martyn_Jordan,Amateur team(s),1885-?,London Welsh RFC,/wiki/London_Welsh_RFC,,
Q577765,Zachary Pangelinan,Zachary_Pangelinan,Amateur team(s),2007–2017,OMBAC RFC,/wiki/Old_Mission_Beach_Athletic_Club_RFC,,
Q578247,Denis Fogarty,Denis_Fogarty,Amateur team(s),2002–2012,Cork Constitution,/wiki/Cork_Constitution,,
Q578310,Olivier Brouzet,Olivier_Brouzet,Amateur team(s),,Seyssins,,,
Q584317,Mervyn Davies,Mervyn_Davies_(rugby_union),Amateur team(s),1968-1972,London Welsh RFC,/wiki/London_Welsh_RFC,,
Q584317,Mervyn Davies,Mervyn_Davies_(rugby_union),Amateur team(s),1972-1976,Swansea RFC,/wiki/Swansea_RFC,88,60
Q584317,Mervyn Davies,Mervyn_Davies_(rugby_union),Amateur team(s),–,Barbarian F.C.,/wiki/Barbarian_F.C.,,
Q584317,Mervyn Davies,Mervyn_Davies_(rugby_union),Amateur team(s),–,Surrey,,,
Q588193,Felipe Contepomi,Felipe_Contepomi,Amateur team(s),1996–2000,Club Newman,/wiki/Club_Newman,,
Q588193,Felipe Contepomi,Felipe_Contepomi,Amateur team(s),2003–2004,Carlow RFC,,,
Q588193,Felipe Contepomi,Felipe_Contepomi,Amateur team(s),2005,Lansdowne FC,/wiki/Lansdowne_FC,,
Q588193,Felipe Contepomi,Felipe_Contepomi,Amateur team(s),2013–14,Club Newman,/wiki/Club_Newman,,
Q591370,Serge Betsen,Serge_Betsen,Amateur team(s),1985–1996,Club Sportif de Clichy,/w/index.php?title=Club_Sportif_de_Clichy&action=edit&redlink=1,,
Q591492,Shaun Perry,Shaun_Perry,Amateur team(s),1985–2003,Dudley Kingswinford RFC,,,
Q591492,Shaun Perry,Shaun_Perry,Amateur team(s),2003–2005,Coventry RFC,/wiki/Coventry_R.F.C.,,
Q593538,Alexandru Manta,Alexandru_Manta,Youth career,Locomotiva București,,,,
Q598270,Robert Ebersohn,Robert_Ebersohn,Amateur team(s),2008,UFS Shimlas,/wiki/University_of_the_Free_State,2,5
Q598270,Robert Ebersohn,Robert_Ebersohn,Youth career,2005–2007,Free State Cheetahs,/wiki/Cheetahs_(rugby_union),,
