"nation","name","url"
"Argentina","Eduardo Simone","https://en.wikipedia.org/wiki/Eduardo_Simone"
"Argentina","Roberto Travaglini",NA
"Argentina","Federico Werner",NA
"Argentina","Christian Barrea",NA
"Argentina","Diego Giannantonio",NA
"Argentina","Mario Ledesma Arocena","https://en.wikipedia.org/wiki/Mario_Ledesma"
"Argentina","José Orengo","https://en.wikipedia.org/wiki/Jos%C3%A9_Orengo"
"Argentina","Tomás Solari",NA
"Argentina","Germán Aristide",NA
"Argentina","Miguel Ruiz","https://en.wikipedia.org/wiki/Miguel_Ruiz_(rugby_union)"
"Argentina","Alejandro Aguirre",NA
"Argentina","Pablo Alexenicer",NA
"Argentina","Alejandro Allub","https://en.wikipedia.org/wiki/Alejandro_Allub"
"Argentina","Matías Brandi",NA
"Argentina","Marcelo Carmona",NA
"Argentina","Diego Gómez Coll",NA
"Argentina","Agustín Lopresti",NA
"Argentina","Juan Meabe",NA
"Argentina","Facundo Rave",NA
"Argentina","Damián Rotondo",NA
"Argentina","Gustavo Verón",NA
"Argentina","Raúl Cano",NA
"Argentina","Manuel Díaz",NA
"Argentina","Andrés Irigoyen",NA
"Argentina","Fernando Díaz Alberdi","https://en.wikipedia.org/wiki/Fernando_D%C3%ADaz_Alberdi"
"Argentina","Juan Fernández Miranda","https://en.wikipedia.org/wiki/Juan_Fern%C3%A1ndez_Miranda"
"Argentina","Santiago Phelan","https://en.wikipedia.org/wiki/Santiago_Phelan"
"Argentina","Camilo Boffelli",NA
"Argentina","Hugo Cespedes",NA
"Argentina","Guillermo Bernardi",NA
"Argentina","Martín Durand","https://en.wikipedia.org/wiki/Mart%C3%ADn_Durand"
"Argentina","Leonardo Gravano",NA
"Argentina","Emiliano Mulieri",NA
"Argentina","Gastón Nazassi",NA
"Argentina","Nicolás Gómez",NA
"Argentina","Federico Todeschini","https://en.wikipedia.org/wiki/Federico_Todeschini"
"Argentina","Manuel Contepomi","https://en.wikipedia.org/wiki/Manuel_Contepomi"
"Argentina","Gabriel Bocca",NA
"Argentina","Ignacio Corleto","https://en.wikipedia.org/wiki/Ignacio_Corleto"
"Argentina","Patricio Fuselli",NA
"Argentina","Pablo García Hamilton",NA
"Argentina","Rodrigo Roncero","https://en.wikipedia.org/wiki/Rodrigo_Roncero"
"Argentina","Rafael Silva",NA
"Argentina","Bernardo Stortoni","https://en.wikipedia.org/wiki/Bernardo_Stortoni"
"Argentina","Daniel Villen",NA
"Argentina","Arturo Mimesi",NA
"Argentina","Damián Rodríguez",NA
"Argentina","Patricio Grande",NA
"Argentina","Matías Lamas",NA
"Argentina","Christian Ohanian",NA
"Argentina","José Altube",NA
