"rugbyscopeId","fullName","countries","before","after"
516,"GPS Rugby","Australia","Amateur","Amateur"
527,"Gordon RFC","Australia","Amateur","Amateur"
552,"Manly RUFC","Australia","Amateur","Amateur"
606,"Randwick DRUFC","Australia","Amateur","Amateur"
650,"Souths Rugby","Australia","Amateur","Amateur"
725,"University of Queensland Rugby Club","Australia","Amateur","Amateur"
731,"Warringah RC","Australia","Amateur","Amateur"
737,"West Harbour RFC","Australia","Amateur","Amateur"
741,"Wests Rugby","Australia","Amateur","Amateur"
2718,"South Darwin Rabbitohs","Australia","Amateur","Amateur"
7030,"Burdekin Canetoads","Australia","Amateur","Amateur"
7228,"RC Douala","Cameroon","Amateur","Amateur"
696,"Toronto Welsh RFC","Canada","Amateur","Amateur"
2310,"Meraloma Rugby","Canada","Amateur","Amateur"
2333,"UBC Old Boys Ravens","Canada","Amateur","Amateur"
2,"Saracens F.C.","England","Amateur","Senior"
13,"Nottingham R.F.C.","England","Amateur","Senior"
26,"Birmingham Moseley Rugby Club","England","Amateur","Senior"
98,"Bedford Blues","England","Amateur","Senior"
105,"London Scottish F.C.","England","Amateur","Senior"
122,"Gloucester Rugby","England","Amateur","Senior"
136,"Barbarian FC","England","Amateur","Senior"
138,"Bath Rugby","England","Amateur","Senior"
160,"Newcastle Red Bulls","England","Amateur","Senior"
162,"Bristol Bears","England","Amateur","Senior"
164,"Sale Sharks","England","Amateur","Senior"
184,"Otley R.U.F.C.","England","Amateur","Amateur"
201,"London Welsh RFC","England","Amateur","Senior"
204,"Leicester Tigers","England","Amateur","Senior"
230,"Harlequin F.C.","England","Amateur","Senior"
231,"Wasps RFC","England","Amateur","Senior"
238,"London Irish RFC","England","Amateur","Senior"
239,"Northampton Saints","England","Amateur","Senior"
251,"Leeds Tykes","England","Amateur","Senior"
332,"Worcester Warriors","England","Amateur","Senior"
365,"Blackheath F.C.","England","Amateur","Senior"
549,"Liverpool St Helens F.C.","England","Amateur","Senior"
577,"Orrell Rugby Club","England","Amateur","Senior"
607,"Richmond Rugby Club","England","Amateur","Senior"
609,"Rosslyn Park F.C.","England","Amateur","Senior"
738,"West Hartlepool RFC","England","Amateur","Senior"
949,"Barking Rugby Football Club","England","Amateur","Amateur"
3148,"Jersey RFC","England","Amateur","Amateur"
4245,"Aston Old Edwardians","England","Amateur","Amateur"
4408,"Old Georgians RC","England","Amateur","Amateur"
4445,"Nadi Jets","Fiji","Amateur","Amateur"
4446,"Nadroga Stallions","Fiji","Amateur","Amateur"
4450,"Rewa","Fiji","Amateur","Amateur"
4451,"Suva Capitals","Fiji","Amateur","Amateur"
7110,"Gaunavou Rugby Club","Fiji","Amateur","Amateur"
7611,"Vatukoula Rugby","Fiji","Amateur","Amateur"
7954,"Airport Rugby Club","Fiji","Amateur","Amateur"
1,"Lyon OU","France","Amateur","Senior"
10,"Racing 92","France","Amateur","Senior"
20,"FC Lourdes","France","Amateur","Senior"
27,"ASM Clermont Auvergne","France","Amateur","Senior"
44,"Stade Toulousain","France","Amateur","Senior"
56,"Football Club Sportif Rumilly","France","Amateur","Senior"
76,"Montpellier Hérault Rugby","France","Amateur","Senior"
88,"Aviron Bayonnais","France","Amateur","Senior"
