"origWdId","origName","esName","wpPage","startYear","endYear","teamName","teamWP","matchesPlayed","pointsScored"
"Q205288","Zinzan Brooke","Zinzan Brooke","Zinzan_Brooke","1986","1992","SS Lazio Rugby","SS_Lazio_Rugby",NA,NA
"Q205288","Zinzan Brooke","Zinzan Brooke","Zinzan_Brooke","1992","1993","ASD Rugby Casale",NA,NA,NA
"Q205288","Zinzan Brooke","Zinzan Brooke","Zinzan_Brooke","1996","1997","Blues","Blues_(rugby)",NA,NA
"Q205288","Zinzan Brooke","Zinzan Brooke","Zinzan_Brooke","1998","2001","Harlequins FC","Harlequins_FC",NA,NA
"Q209365","Richie Gray","Richie Gray","Richie_Gray",NA,NA,"Escocia","Selecci%C3%B3n_de_rugby_de_Escocia","64",NA
"Q209365","Richie Gray","Richie Gray","Richie_Gray","2008","2012","Glasgow Warriors",NA,NA,NA
"Q209365","Richie Gray","Richie Gray","Richie_Gray","2012","2013","Sale Sharks","Sale_Sharks",NA,NA
"Q209365","Richie Gray","Richie Gray","Richie_Gray","2013","2015","Castres Olympique","Castres_Olympique",NA,NA
"Q209365","Richie Gray","Richie Gray","Richie_Gray","2016",NA,"Stade Toulousain",NA,NA,NA
"Q221074","Bud Spencer","Bud Spencer","Bud_Spencer",NA,NA,"Società Sportiva Lazio","Societ%C3%A0_Sportiva_Lazio",NA,NA
"Q276102","Jean de Villiers","Jean de Villiers","Jean_de_Villiers_(rugbista)",NA,NA,"Sudáfrica","Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica","109","135"
"Q276102","Jean de Villiers","Jean de Villiers","Jean_de_Villiers_(rugbista)","2001","2009","Western Province","Western_Province",NA,NA
"Q276102","Jean de Villiers","Jean de Villiers","Jean_de_Villiers_(rugbista)","2005","2009","Stormers","Stormers",NA,NA
"Q276102","Jean de Villiers","Jean de Villiers","Jean_de_Villiers_(rugbista)","2009","2010","Munster","Munster_Rugby",NA,NA
"Q276102","Jean de Villiers","Jean de Villiers","Jean_de_Villiers_(rugbista)","2010","2015","Western Province","Western_Province",NA,NA
"Q276102","Jean de Villiers","Jean de Villiers","Jean_de_Villiers_(rugbista)","2011","2015","Stormers","Stormers",NA,NA
"Q276102","Jean de Villiers","Jean de Villiers","Jean_de_Villiers_(rugbista)","2015","2016","Leicester Tigers","Leicester_Tigers",NA,NA
"Q281871","Tom Kiernan","Tom Kiernan","Tom_Kiernan","1960",NA,"Irlanda","Selecci%C3%B3n_de_rugby_de_Irlanda","54","158"
"Q281871","Tom Kiernan","Tom Kiernan","Tom_Kiernan","1957","1973","Cork Constitution",NA,NA,NA
"Q281871","Tom Kiernan","Tom Kiernan","Tom_Kiernan","1958","1973","Munster Rugby",NA,NA,NA
"Q284846","Schalk Willem Petrus Burger","Schalk Burger","Schalk_Burger",NA,NA,"Sudáfrica","Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica","86","80"
"Q284846","Schalk Willem Petrus Burger","Schalk Burger","Schalk_Burger","2003","2016","Stormers","Stormers",NA,NA
"Q284846","Schalk Willem Petrus Burger","Schalk Burger","Schalk_Burger","2016","2019","Saracens","Saracens",NA,NA
"Q285739","Valentin Ursache","Valentin Ursache","Valentin_Ursache",NA,NA,"Rumania","Selecci%C3%B3n_de_rugby_de_Rumania","63","20"
"Q285739","Valentin Ursache","Valentin Ursache","Valentin_Ursache","2005","2011","Steaua București",NA,NA,NA
"Q285739","Valentin Ursache","Valentin Ursache","Valentin_Ursache","2010","2012","Pays d'Aix",NA,NA,NA
