name,number,opponent,date_of_debut,caps,url
Edward Walsh,151,England,05/02/1887,7,https://en.wikipedia.org//wiki/Edward_Walsh_(rugby_union)
Robert Stevenson,152,England,05/02/1887,14,"https://en.wikipedia.org//w/index.php?title=Robert_Stevenson_(rugby_union,_born_1866)&action=edit&redlink=1"
John Macauley,153,England,05/02/1887,2,https://en.wikipedia.org//w/index.php?title=John_Macauley&action=edit&redlink=1
Malcolm Moore,154,Scotland,19/02/1887,3,"https://en.wikipedia.org//w/index.php?title=Malcolm_Moore_(rugby_union,_born_1864)&action=edit&redlink=1"
P.J. O'Connor,155,Wales,12/03/1887,1,https://en.wikipedia.org//w/index.php?title=P.J._O%27Connor&action=edit&redlink=1
Thomas Taggart,156,Wales,12/03/1887,1,https://en.wikipedia.org//w/index.php?title=Thomas_Taggart_(rugby_union)&action=edit&redlink=1
W Davison,157,Wales,12/03/1887,1,https://en.wikipedia.org//w/index.php?title=W_Davison&action=edit&redlink=1
Robert Mayne,158,Wales,03/03/1888,2,https://en.wikipedia.org//w/index.php?title=Robert_Mayne_(rugby_union)&action=edit&redlink=1
William Ekin,159,Wales,03/03/1888,2,https://en.wikipedia.org//w/index.php?title=William_Ekin&action=edit&redlink=1
James Moffatt,160,Wales,03/03/1888,7,https://en.wikipedia.org//w/index.php?title=James_Moffatt_(rugby_union)&action=edit&redlink=1
Ernest Stoker,161,Wales,03/03/1888,2,https://en.wikipedia.org//w/index.php?title=Ernest_Stoker&action=edit&redlink=1
Alfred Walpole,162,Scotland,10/03/1888,2,https://en.wikipedia.org//w/index.php?title=Alfred_Walpole&action=edit&redlink=1
William Morton,163,Scotland,10/03/1888,1,https://en.wikipedia.org//w/index.php?title=William_Morton_(rugby_union)&action=edit&redlink=1
Thomas Edwards,164,New Zealand Natives,01/12/1888,6,https://en.wikipedia.org//w/index.php?title=Thomas_Edwards_(rugby_union)&action=edit&redlink=1
David Woods,165,New Zealand Natives,01/12/1888,2,https://en.wikipedia.org//w/index.php?title=David_Woods_(rugby_union)&action=edit&redlink=1
Michael Bulger,166,New Zealand Natives,01/12/1888,1,https://en.wikipedia.org//wiki/Michael_Joseph_Bulger
James Stevenson,167,New Zealand Natives,01/12/1888,2,https://en.wikipedia.org//w/index.php?title=James_Stevenson_(rugby_union)&action=edit&redlink=1
H.W. Andrews,168,New Zealand Natives,01/12/1888,3,https://en.wikipedia.org//w/index.php?title=H.W._Andrews&action=edit&redlink=1
Edmund Forrest,169,New Zealand Natives,01/12/1888,13,https://en.wikipedia.org//wiki/Edmund_Forrest
John O'Conor,170,New Zealand Natives,01/12/1888,17,https://en.wikipedia.org//w/index.php?title=John_O%27Conor_(rugby_union)&action=edit&redlink=1
John Lytle,171,New Zealand Natives,01/12/1888,8,https://en.wikipedia.org//w/index.php?title=John_Lytle&action=edit&redlink=1
Joseph Jameson,172,New Zealand Natives,01/12/1888,7,https://en.wikipedia.org//w/index.php?title=Joseph_Jameson&action=edit&redlink=1
Luke Holmes,173,Scotland,16/02/1889,2,https://en.wikipedia.org//w/index.php?title=Luke_Holmes_(rugby_union)&action=edit&redlink=1
Robert Yeates,174,Scotland,16/02/1889,2,https://en.wikipedia.org//w/index.php?title=Robert_Yeates&action=edit&redlink=1
Thomas Pedlow,175,Scotland,16/02/1889,2,https://en.wikipedia.org//w/index.php?title=Thomas_Pedlow&action=edit&redlink=1
Llewellyn Charles Nash,176,Scotland,16/02/1889,6,https://en.wikipedia.org//wiki/L.C._Nash
Charles Stack,177,Scotland,16/02/1889,1,https://en.wikipedia.org//w/index.php?title=Charles_Stack_(rugby_union)&action=edit&redlink=1
Thomas Donovan,178,Scotland,16/02/1889,1,https://en.wikipedia.org//w/index.php?title=Thomas_Donovan_(rugby_union)&action=edit&redlink=1
Robert Dunlop,179,Wales,02/03/1890,11,https://en.wikipedia.org//w/index.php?title=Robert_Dunlop_(rugby_union)&action=edit&redlink=1
Alistair McDonnell,180,Wales,02/03/1890,4,https://en.wikipedia.org//w/index.php?title=Alistair_McDonnell&action=edit&redlink=1
John Cotton,181,Wales,02/03/1890,1,https://en.wikipedia.org//w/index.php?title=John_Cotton_(rugby_union)&action=edit&redlink=1
Henry Richey,182,Wales,02/03/1889,2,https://en.wikipedia.org//w/index.php?title=Henry_Richey&action=edit&redlink=1
Henry Gifford,183,Scotland,22/02/1890,1,https://en.wikipedia.org//w/index.php?title=Henry_Gifford_(rugby_union)&action=edit&redlink=1
Ralph Johnston,184,Scotland,22/02/1890,3,https://en.wikipedia.org//w/index.php?title=Ralph_Johnston&action=edit&redlink=1
J. Roche,185,Scotland,22/02/1890,7,https://en.wikipedia.org//w/index.php?title=J._Roche&action=edit&redlink=1
Eddie Doran,186,Scotland,22/02/1890,2,https://en.wikipedia.org//w/index.php?title=Eddie_Doran&action=edit&redlink=1
William Davis,187,Scotland,22/02/1890,9,https://en.wikipedia.org//w/index.php?title=William_Davis_(rugby_union)&action=edit&redlink=1
Hugh Galbraith,188,Wales,01/03/1890,1,https://en.wikipedia.org//w/index.php?title=Hugh_Galbraith_(rugby_union)&action=edit&redlink=1
Benjamin Tuke,189,England,15/03/1890,9,https://en.wikipedia.org//wiki/Benjamin_Tuke
Sam Lee,190,England,07/02/1891,19,https://en.wikipedia.org//w/index.php?title=Sam_Lee_(rugby_union)&action=edit&redlink=1
Charles Rooke,191,England,07/02/1891,19,https://en.wikipedia.org//wiki/Charles_Rooke
H.G. Wells,192,Scotland,21/02/1891,4,https://en.wikipedia.org//w/index.php?title=H.G._Wells_(rugby_union)&action=edit&redlink=1
Edwin Cameron,193,Scotland,21/02/1891,2,https://en.wikipedia.org//w/index.php?title=Edwin_Cameron_(rugby_union)&action=edit&redlink=1
Robert Stokes,194,Scotland,21/02/1891,2,https://en.wikipedia.org//w/index.php?title=Robert_Stokes_(rugby_union)&action=edit&redlink=1
George Collopy,195,Scotland,21/02/1891,2,https://en.wikipedia.org//w/index.php?title=George_Collopy&action=edit&redlink=1
Edward Frazer,196,Scotland,21/02/1891,2,https://en.wikipedia.org//w/index.php?title=Edward_Frazer&action=edit&redlink=1
Robert Pedlow,197,Wales,07/03/1891,1,https://en.wikipedia.org//w/index.php?title=Robert_Pedlow&action=edit&redlink=1
Thomas Fogarty,198,Wales,07/03/1891,1,https://en.wikipedia.org//w/index.php?title=Thomas_Fogarty_(rugby_union)&action=edit&redlink=1
Thomas Peel,199,England,06/02/1892,3,https://en.wikipedia.org//w/index.php?title=Thomas_Peel_(rugby_union)&action=edit&redlink=1
William Gardiner,200,England,06/02/1892,17,https://en.wikipedia.org//w/index.php?title=William_Gardiner_(rugby_union)&action=edit&redlink=1
Thomas Thornhill,201,England,06/02/1892,4,https://en.wikipedia.org//w/index.php?title=Thomas_Thornhill_(rugby_union)&action=edit&redlink=1
TJ Johnston,202,England,06/02/1892,6,https://en.wikipedia.org//w/index.php?title=TJ_Johnston&action=edit&redlink=1
Arthur Wallis,203,England,06/02/1892,5,https://en.wikipedia.org//wiki/Arthur_Wallis_(sportsman)
Robert Smith,204,England,06/02/1892,1,https://en.wikipedia.org//w/index.php?title=Robert_Smith_(rugby_union)&action=edit&redlink=1
Frederick Davies,205,Scotland,20/02/1892,5,https://en.wikipedia.org//w/index.php?title=Frederick_Davies_(rugby_union)&action=edit&redlink=1
