"wikidataId","fullName","itName","height","weight","positions","positionsWP","birthCountry","sportCountry","currentTeamWP"
"Q18637859","Tiziano Pasquali","Tiziano Pasquali",185,118,"Prop",NA,"Italy",NA,"/wiki/Benetton_Rugby_Treviso"
"Q18637871","Guido Petti Pagadizábal","Guido Petti Pagadizábal",194,108,"2nd Row",NA,"Argentina",NA,"/wiki/Union_Bordeaux_B%C3%A8gles"
"Q18638202","Matteo Zanusso","Matteo Zanusso",178,116,"Prop",NA,"Italy",NA,NA
"Q18759723","José Luis Imhoff","José Luis Imhoff",NA,NA,"Number 8",NA,"Argentina",NA,NA
"Q18808571","Ultan Dillane","Ultan Dillane",198,115,"2nd Row",NA,"France","Ireland",NA
"Q18921739","Tomas Francis","Tomas Francis",185,129,"Prop",NA,"Great Britain","Wales","/wiki/Exeter_Chiefs"
"Q18977737","Marco Barbini","Marco Barbini",191,101,"Flanker",NA,"Italy",NA,NA
"Q18978120","Maro Itoje","Maro Itoje",195,116,"2nd Row",NA,"Great Britain","England","/wiki/Saracens_Football_Club"
"Q18978162","Huw Jones","Huw Jones",185,96,"Centre",NA,"Great Britain","Scotland",NA
"Q19395004","Franco Baraldi","Franco Baraldi",NA,NA,"Flanker",NA,"Italy",NA,NA
"Q19405223","Luigi Guandalini","Luigi Guandalini",NA,NA,NA,NA,"Italy",NA,NA
"Q19406484","Davide Lanzoni","Davide Lanzoni",NA,NA,NA,NA,"Italy",NA,NA
"Q19406545","Lelio Lazzarini","Lelio Lazzarini",NA,NA,"Utility Back",NA,"Italy",NA,NA
"Q19407403","Renzo Maffioli","Renzo Maffioli",NA,NA,"Centre",NA,"Italy",NA,NA
"Q19408080","Elio Michelon","Elio Michelon",NA,NA,"Winger",NA,"Italy",NA,NA
"Q19408574","Giancarlo Navarrini","Giancarlo Navarrini",NA,NA,"Hooker",NA,"Italy",NA,NA
"Q19412230","Cesare Sarti","Cesare Sarti",NA,NA,NA,NA,"Italy",NA,NA
"Q19517709","Finlay Bealham","Finlay Bealham",188,118,"Prop",NA,"Australia","Ireland",NA
"Q19538987","Kennedy Tsimba","Kennedy Tsimba",NA,NA,"Fly-Half",NA,"Zimbabwe","Zimbabwe",NA
"Q19560446","Charlie Ewels","Charlie Ewels",197,112,"2nd Row",NA,"Great Britain","England","/wiki/Bath_Rugby"
"Q19578358","Peceli Yato","Peceli Yato",196,112,"Flanker",NA,"Fiji",NA,"/wiki/Association_sportive_montferrandaise_Clermont_Auvergne"
"Q19623644","Nelie Smith","Nelie Smith",NA,NA,"Scrum-Half",NA,"South Africa",NA,NA
"Q19654810","Dave Sisi","David Sisi",196,122,"2nd Row",NA,"Germany","England; Italy",NA
"Q19660113","Umberto Pilla","Umberto Pilla",178,90,"Flanker",NA,"Italy","Germany","/wiki/Rugby_San_Don%C3%A0"
"Q19661153","Jerry Tuwai","Jerry Tuwai",174,81,NA,NA,"Fiji",NA,NA
"Q19664800","Callum Braley","Callum Braley",178,83,"Scrum-Half",NA,"Great Britain","England; Italy","/wiki/Northampton_Saints"
"Q19766130","Mario Savi","Mario Savi",178,105,"Prop",NA,"Italy",NA,NA
"Q19818622","Josh van der Flier","Josh van der Flier",183,105,"Flanker",NA,"Ireland","Ireland",NA
"Q19818683","RG Snyman","RG Snyman",206,117,"2nd Row",NA,"South Africa",NA,NA
"Q19843698","Julien Marchand","Julien Marchand",181,110,"Hooker",NA,"France",NA,"/wiki/Stade_Toulousain"
"Q19843878","Franco Bernini","Franco Bernini",NA,NA,"Flanker",NA,"Italy",NA,NA
"Q19843888","Regan Sue","Regan Sue",184,100,"Fly-Half",NA,"New Zealand","Denmark",NA
"Q19875319","Wilco Louw","Wilco Louw",185,130,"Prop",NA,"South Africa",NA,"/wiki/Harlequin_Football_Club"
"Q19875405","Kotaro Matsushima","Kōtarō Matsushima",178,88,"Fullback",NA,"South Africa","Japon",NA
"Q19952311","Marius Delport","Marius Delport",194,90,"Centre",NA,"South Africa",NA,NA
"Q19956060","Kevin Gourdon","Kevin Gourdon",190,103,"Flanker",NA,"France",NA,"/wiki/Stade_rochelais"
"Q19958436","Octavian Morariu","Octavian Morariu",193,98,"Number 8",NA,"Romania",NA,NA
"Q19984531","Keanu Apperley","Keanu Apperley",180,78,"Utility Back",NA,"Great Britain","Italy","/wiki/Rugby_Viadana"
"Q19984955","Ian McKinley","Ian McKinley",182,85,"Fly-Half",NA,"Ireland","Ireland; Italy",NA
"Q20050734","Roy Roper",NA,NA,NA,NA,NA,NA,NA,NA
"Q20065197","Teimana Harrison","Teimana Harrison",188,100,"Number 8",NA,"New Zealand","England","/wiki/Northampton_Saints"
"Q20246315","Andrea Cavinato","Andrea Cavinato",NA,NA,"Fly-Half",NA,"Italy",NA,NA
"Q20246342","Andrea Barbieri","Andrea Barbieri",192,106,"2nd Row",NA,"Italy",NA,"/wiki/Rugby_Colorno"
"Q20643173","Makazole Mapimpi","Makazole Mapimpi",187,91,"Utility Back",NA,"South Africa",NA,NA
"Q20666534","Antoine Dupont","Antoine Dupont",175,84,"Scrum-Half",NA,"France",NA,"/wiki/Stade_Toulousain"
"Q20677076","Rieko Ioane","Rieko Ioane",189,102,"Winger",NA,"New Zealand",NA,NA
"Q20702835","Carlo Canna","Carlo Canna",190,93,"Fly-Half",NA,"Italy",NA,"/wiki/Fiamme_Oro_Rugby"
"Q20713052","Ali Price","Ali Price",178,80,"Scrum-Half",NA,"Great Britain","Scotland",NA
"Q20744800","Daniel Yakopo","Dan Yakopo",178,85,"Centre",NA,"Fiji","Australia",NA
"Q20744990","Lasha Lomidze","Lasha Lomidze",195,110,"Number 8",NA,"Georgia",NA,"/wiki/Polisportiva_S.S._Lazio_Rugby_1927"
"Q20877105","George Horne","George Horne",175,79,"Scrum-Half",NA,"Great Britain","Scotland",NA
"Q20961841","Giorgi Melikidze",NA,179,117,"Prop",NA,"Georgia",NA,"/wiki/Stade_fran%C3%A7ais_Paris_rugby"
"Q20971961","Benoît Piffero","Benoît Piffero",182,102,"Hooker",NA,"Canada",NA,NA
"Q20981768","Julián Montoya","Julián Montoya",184,102,"Hooker",NA,"Argentina",NA,"/wiki/Leicester_Tigers"
"Q20981841","Matías Orlando","Matías Orlando",183,94,"Centre",NA,"Argentina",NA,NA
"Q20983136","Yu Tamura","Yū Tamura",181,87,"Fly-Half",NA,"Japon",NA,"/wiki/Yokohama_Canon_Eagles"
"Q20986653","Karne Hesketh","Karne Hesketh",178,98,"Winger",NA,"New Zealand","Japon",NA
"Q20992219","Amanaki Mafi","Amanaki Mafi",189,112,"Number 8",NA,"Tonga","Japon",NA
"Q21055343","Sebastian Negri","Sebastian Negri",197,108,"Flanker",NA,"Zimbabwe","Italy",NA
"Q21063928","Franco Lamanna","Franco Lamanna",188,100,"Flanker",NA,"Uruguay",NA,NA
"Q21066897","Api Ratuniyarawa","Api Ratuniyarawa",198,115,"2nd Row",NA,"Fiji",NA,"/wiki/Northampton_Saints"
"Q21066918","Alejandro Nieto","Alejandro Nieto",185,101,"Number 8",NA,"Uruguay",NA,NA
"Q21066991","Santiago García Botta","Santiago García Botta",185,109,"Prop",NA,"Argentina",NA,"/wiki/Harlequin_Football_Club"
"Q21067230","Damian Stevens","Damian Stevens",168,79,"Scrum-Half",NA,"Namibia",NA,NA
"Q21152023","Baptiste Serin","Baptiste Serin",180,81,"Scrum-Half",NA,"France",NA,"/wiki/Rugby_Club_Toulonnais"
"Q21285374","MJ Mentz","Marthinus Mentz",177,77,"Winger",NA,"South Africa",NA,NA
"Q21294591","Camille Chat","Camille Chat",178,101,"Hooker",NA,"France",NA,"/wiki/Racing_92"
"Q21600834","Héctor De Marco","Héctor De Marco",178,80,"Fly-Half",NA,"Argentina","Italy",NA
