"rugbyscopeId","altNames","teamWP","fusionName"
980,"birr","Birr_RFC","Birr RFC"
980,"Birr",NA,"Birr RFC"
982,"bishop's stortford","Bishop%27s_Stortford_RFC","Bishop's Stortford RFC"
982,"Bishop's Stortford RFC",NA,"Bishop's Stortford RFC"
983,"blackwood rfc; Blackwood RFC","Blackwood_RFC","Blackwood RFC"
984,"blaenavon; blaenavon rfc; Blaenavon; Blaenavon RFC","Blaenavon_RFC","Blaenavon RFC"
985,"blaina rfc; Blaina RFC","Blaina_RFC","Blaina RFC"
986,"blaydon rfc; blaydon","Blaydon_RFC","Blaydon RFC"
990,"bonymaen rfc; dunvant juniors; Bonymaen RFC","Bonymaen_RFC","Bonymaen RFC"
993,"boston rfc; boston r.c.","Boston_RFC_(United_States)","Boston RFC"
995,"bournemouth rfc",NA,"Bournemouth Rugby Club"
996,"bournville","Bournville_RFC","Bournville RFC"
998,"boyne rfc",NA,"Boyne RFC"
999,"bradford & bingley; bradford & bingley rfc; Bradford & Bingley RFC","Bradford_%26_Bingley_RFC","Bradford & Bingley RFC"
1001,"brecon rfc; Brecon RFC","Brecon_RFC","Brecon RFC"
1001,"Brecon",NA,"Brecon RFC"
1002,"bridgend athletic; Bridgend Athletic","Bridgend_Athletic_RFC","Bridgend Athletic RFC"
1004,"bridgwater",NA,"Bridgwater & Albion"
1004,"bridgwater & albion rfc; bridgwater & albion","Bridgwater_%26_Albion_RFC","Bridgwater & Albion"
1005,"brighton blues","Brighton_Football_Club_(RFU)","Brighton Football Club"
1009,"briton ferry rfc; Briton Ferry RFC","Briton_Ferry_RFC","Briton Ferry RFC"
1011,"broadstreet rfc; broadstreet; Broadstreet RFC","Broadstreet_RFC","Broadstreet Rugby Club"
1011,"Broad Street Rugby Club",NA,"Broadstreet Rugby Club"
1015,"broughton park rufc; broughton park; Broughton Park","Broughton_Park_RUFC","Broughton Park FC"
1015,"Broughton Park",NA,"Broughton Park FC"
1015,"Broughton Park Rugby Union F.C",NA,"Broughton Park FC"
1016,"broughton rufc","Broughton_RUFC","Broughton RUFC"
