,wiki_name,wpPage,stintType,timePeriod,teamName,matchesPlayed,pointsScored
199,Lewis Cobden Thomas,https://en.wikipedia.org/wiki/Lewis_Cobden_Thomas,amateur,-,cardiff rfc,0,0
200,JP Cooney,https://en.wikipedia.org/wiki/JP_Cooney,amateur,2010-,garryowen,0,0
201,JP Cooney,https://en.wikipedia.org/wiki/JP_Cooney,senior_club,2012-2018,connacht,0,5
202,Charles Austin,https://en.wikipedia.org/wiki/Charles_Austin_(rugby_union),amateur,c.1912-1913,olympic club rfc,0,0
203,Charles Austin,https://en.wikipedia.org/wiki/Charles_Austin_(rugby_union),amateur,1913-c.1916,stanford university,0,0
204,Ken Fyfe,https://en.wikipedia.org/wiki/Ken_Fyfe,amateur,-,university of cambridge,0,0
205,Matthew Burke,"https://en.wikipedia.org/wiki/Matthew_Burke_(rugby_union,_born_1997)",amateur,2015-,galwegians,0,0
206,Matthew Burke,"https://en.wikipedia.org/wiki/Matthew_Burke_(rugby_union,_born_1997)",senior_club,2018-2024,connacht,0,0
207,Matthew Burke,"https://en.wikipedia.org/wiki/Matthew_Burke_(rugby_union,_born_1997)",international,2015,ireland u18,0,0
208,Matthew Burke,"https://en.wikipedia.org/wiki/Matthew_Burke_(rugby_union,_born_1997)",international,2017,ireland u20,0,0
209,Billy Hunter,https://en.wikipedia.org/wiki/Billy_Hunter_(rugby_union),amateur,1952-,hawick,0,0
210,Billy Hunter,https://en.wikipedia.org/wiki/Billy_Hunter_(rugby_union),senior_club,1958,scottish border xv,0,0
211,Billy Hunter,https://en.wikipedia.org/wiki/Billy_Hunter_(rugby_union),senior_club,1962,south of scotland district,0,0
212,Billy Hunter,https://en.wikipedia.org/wiki/Billy_Hunter_(rugby_union),senior_club,1962,provinces district,0,0
213,Billy Hunter,https://en.wikipedia.org/wiki/Billy_Hunter_(rugby_union),senior_club,1962-63,whites trial,0,0
214,Billy Hunter,https://en.wikipedia.org/wiki/Billy_Hunter_(rugby_union),international,1964-67,scotland,0,0
215,Billy Hunter,https://en.wikipedia.org/wiki/Billy_Hunter_(rugby_union),international,-,barbarians,0,0
216,John Tulloch,https://en.wikipedia.org/wiki/John_Tulloch_(rugby_union),amateur,- 1901,kelvinside academicals,0,0
217,John Tulloch,https://en.wikipedia.org/wiki/John_Tulloch_(rugby_union),senior_club,1899-1901,cities district,0,0
218,John Tulloch,https://en.wikipedia.org/wiki/John_Tulloch_(rugby_union),senior_club,1900,glasgow district,0,0
219,John Tulloch,https://en.wikipedia.org/wiki/John_Tulloch_(rugby_union),senior_club,1906,scottish districts,0,0
220,John Tulloch,https://en.wikipedia.org/wiki/John_Tulloch_(rugby_union),senior_club,1907-24,home nations,0,0
221,Donald Cameron Hamilton,https://en.wikipedia.org/wiki/Donald_Cameron_Hamilton,amateur,1906-08,pirates (invercargill),0,0
222,Donald Cameron Hamilton,https://en.wikipedia.org/wiki/Donald_Cameron_Hamilton,senior_club,1906-08,southland,0,0
223,Donald Cameron Hamilton,https://en.wikipedia.org/wiki/Donald_Cameron_Hamilton,international,1908,new zealand,0,0
224,Gerrit van Look,https://en.wikipedia.org/wiki/Gerrit_van_Look,amateur,-,berliner rc,0,0
225,Dick Kedzlie,https://en.wikipedia.org/wiki/Dick_Kedzlie,amateur,1880-1883,canton rfc,0,0
226,Dick Kedzlie,https://en.wikipedia.org/wiki/Dick_Kedzlie,amateur,1883-1884,roath windsor rfc,0,0
227,Dick Kedzlie,https://en.wikipedia.org/wiki/Dick_Kedzlie,amateur,1884-0,cardiff rfc,0,0
228,Jeremy Manning,https://en.wikipedia.org/wiki/Jeremy_Manning,amateur,-,cork constitution,0,0
229,Jeremy Manning,https://en.wikipedia.org/wiki/Jeremy_Manning,senior_club,2005-2010,munster,0,173
230,Jeremy Manning,https://en.wikipedia.org/wiki/Jeremy_Manning,senior_club,2010-2012,newcastle,0,66
231,Jeremy Manning,https://en.wikipedia.org/wiki/Jeremy_Manning,senior_club,2012-,ad harlequins,0,0
232,Chris Anthony,https://en.wikipedia.org/wiki/Chris_Anthony_(rugby_union),amateur,2001,newport rfc,0,0
233,Chris Anthony,https://en.wikipedia.org/wiki/Chris_Anthony_(rugby_union),amateur,2003-2006,newport gd,0,10
234,Chris Anthony,https://en.wikipedia.org/wiki/Chris_Anthony_(rugby_union),amateur,-,barbarian f.c.,0,0
235,George Ritchie,"https://en.wikipedia.org/wiki/George_Ritchie_(rugby_union,_born_1848)",amateur,-,merchistons,0,0
236,Brandon Brown,https://en.wikipedia.org/wiki/Brandon_Brown_(rugby_union),amateur,2016,nmmu madibaz,0,10
237,Brandon Brown,https://en.wikipedia.org/wiki/Brandon_Brown_(rugby_union),senior_club,2016-2018,eastern province elephants,0,35
238,Brandon Brown,https://en.wikipedia.org/wiki/Brandon_Brown_(rugby_union),senior_club,2018-present,southern kings,0,0
